city,year,IAH,precio_m2,ratio_cuota_salario,tasa_desempleo,cluster,PC1,PC2
Armenia,2020,10.44113808405116,1395348.8372093022,0.9155655538635524,16.229757142857142,1,-2.8457477109356177,0.5235827082316689
Armenia,2021,10.806000508517672,1395000.0,0.918583968270392,15.178109397,1,-2.7157238640815553,0.19388932619364987
Barranquilla,2020,21.53484729835552,2906976.7441860465,1.8883539548435768,16.229757142857142,1,-0.25649017068630836,1.3191776639168002
Barranquilla,2021,21.612001017035343,3250000.0,1.837167936540784,15.178109397,1,-0.020859598932955734,0.9913940495617771
Bogotá,2020,29.365700861393893,4250000.0,2.575028120241241,16.229757142857142,0,1.7131602212443369,1.8937895719854452
Bogotá,2021,31.78235443681668,4900000.0,2.701717553736447,15.178109397,0,2.4661721230162956,1.7374650242797398
Bogotá,2022,27.976190476190474,5148148.148148148,3.2677307368057686,11.363516830666669,3,3.060475260417487,0.06233223581306589
Bogotá,2023,20.3125,4463325.652841782,2.913211635689265,10.37263106665512,3,1.808708003008789,-0.8569624447125929
Bogotá,2024,25.78703703703704,5234899.32885906,3.084325731239032,10.123770277507882,3,2.866172305104101,-0.49986822420262905
Bucaramanga,2020,15.987992691203342,2500000.0,1.401959754353565,16.229757142857142,1,-1.3717162508608325,0.9378309644344862
Bucaramanga,2021,16.526824307144672,2674418.604651163,1.4048931279429524,15.178109397,1,-1.136102536593239,0.6301208687303754
Bucaramanga,2022,17.857142857142858,2935779.8165137614,2.085785576684533,11.363516830666669,2,0.026027779257188133,-0.6569051661409947
Bucaramanga,2023,18.463541666666668,3464669.7906345935,2.648034679107293,10.37263106665512,2,0.9077997450300644,-1.0087689869486096
Bucaramanga,2024,17.36111111111111,3676470.588235294,2.076520914209402,10.123770277507882,2,0.46582315520565787,-1.0817108613074782
Cali,2020,19.57713390759593,2475000.0,1.716685413494161,16.229757142857142,1,-0.79838801064688,1.1709870138686032
Cali,2021,20.97635392829901,2830813.9534883723,1.7831335854660548,15.178109397,1,-0.3388453937616833,0.9298595229984182
Cali,2022,17.261904761904763,2830882.3529411764,2.016259390795049,11.363516830666669,2,-0.1394875581093486,-0.6980228707777584
Cali,2023,20.78125,3198837.2093023257,2.9804395965128636,10.37263106665512,2,1.2565888646538124,-0.8900478673009257
Cali,2024,18.98148148148148,3653846.153846154,2.2703295328689466,10.123770277507882,2,0.7616623789016427,-0.9850184094814511
Cartagena,2020,28.060558600887497,4418604.651162791,2.460582426008297,16.229757142857142,0,1.586713182116459,1.8165280462959539
Cartagena,2021,34.007119247393845,5697674.418604652,2.890837782497998,15.178109397,0,3.2348187424542165,1.9212640817817799
Cúcuta,2020,14.682850430696949,1627906.976744186,1.2875140601206208,16.229757142857142,1,-2.0333813150065985,0.8114912833035782
Cúcuta,2021,15.89117721840834,1750000.0,1.3508587768682234,15.178109397,1,-1.7139232273664047,0.5447601315085856
Cúcuta,2022,10.714285714285714,1928571.4285714289,1.25147134601072,11.363516830666669,4,-1.8307814482628209,-1.1384542740014754
Cúcuta,2023,13.151041666666668,2395938.946440379,1.886117789773178,10.37263106665512,4,-0.7546749911713511,-1.3600290233141987
Cúcuta,2024,14.814814814814817,2538461.5384615385,1.77196451345869,10.123770277507882,4,-0.6026154307484848,-1.2890000207428003
Ibagué,2020,14.911250326285565,2048255.8139534884,1.307542056611386,16.229757142857142,1,-1.7798983642443644,0.8462266998929799
Ibagué,2021,14.93770658530384,2093023.2558139532,1.26980725025613,15.178109397,1,-1.6911159258567583,0.49828746837881466
Ibagué,2022,13.69047619047619,2515822.7848101268,1.5991022754581423,11.363516830666669,4,-0.9709259877887946,-0.9299058679359568
Ibagué,2023,17.708333333333332,2863095.238095238,2.539722964447052,10.37263106665512,2,0.4402195595226369,-1.0799078747849093
Ibagué,2024,12.5,3030303.0303030303,1.4950950582307696,10.123770277507882,4,-0.7889169560336544,-1.405461596897753
Manizales,2020,15.987992691203342,2150000.0,1.401959754353565,16.229757142857142,1,-1.551716949777463,0.9213253501463672
Manizales,2021,15.89117721840834,2209302.3255813955,1.3508587768682234,15.178109397,1,-1.4777096855987333,0.5664203230162501
Manizales,2022,20.83333333333333,3333333.333333333,2.433416506131956,11.363516830666669,2,0.7883239720785935,-0.45730270112902416
Manizales,2023,19.791666666666668,3538461.5384615385,2.8385139014408227,10.37263106665512,2,1.2239598332402764,-0.9300740825593373
Manizales,2024,18.05555555555556,4084507.042253521,2.159581750777778,10.123770277507882,2,0.8074461573427646,-1.0205714281407483
Medellín,2020,26.102845210127903,4069767.441860465,2.288913884658881,16.229757142857142,0,1.0875729832606673,1.672258165090283
Medellín,2021,26.06153063818968,4250000.0,2.2154083940638865,15.178109397,0,1.2102530490946644,1.330916169497695
Medellín,2022,15.773809523809524,2881355.9322033897,1.8424439260713377,11.363516830666669,4,-0.39244926884529147,-0.7860697320414656
Medellín,2023,25.0,4878048.780487805,3.585491243925249,10.37263106665512,3,3.0039123020996494,-0.571939970053778
Medellín,2024,30.09259259259259,5508196.721311475,3.599302917962963,10.123770277507882,3,3.8237299778733362,-0.22721914163300702
Pereira,2020,17.619420516836335,2250000.0,1.5450168721447448,16.229757142857142,1,-1.2338402545703748,1.0325571589808218
Pereira,2021,18.46554792779049,2441860.465116279,1.5696978987208756,15.178109397,1,-0.9433734645570966,0.7465405155866005
Pereira,2022,17.410714285714285,2967479.674796748,2.0336409372674202,11.363516830666669,2,-0.041345268868482804,-0.6825383776501238
Pereira,2023,22.916666666666668,4193548.3870967743,3.286700306931478,10.37263106665512,3,2.215474476586522,-0.7222045160403153
Pereira,2024,19.444444444444443,3965517.2413793104,2.32570342391453,10.123770277507882,2,1.0098009012318412,-0.9423890886886703
Villavicencio,2020,15.661707126076742,1450000.0,1.3733483307953287,16.229757142857142,1,-1.9650079324283345,0.8670109377625592
Villavicencio,2021,10.742435799644038,1150000.0,0.913180533162919,15.178109397,1,-2.851964709563729,0.17815877873525424
Villavicencio,2022,13.24404761904762,2354423.292273236,1.546957636041029,11.363516830666669,4,-1.137607659079967,-0.9646454320277115
Villavicencio,2023,10.026041666666668,2194444.444444444,1.437931384282522,10.37263106665512,4,-1.5129126647510012,-1.5465076746398747
Villavicencio,2024,12.5,2877906.976744186,1.4950950582307696,10.123770277507882,4,-0.8672923736128779,-1.412648426837964
